State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Karnataka,Hassan,2008,Whole Year,Sugarcane,1596.8,80771.1
Uttar Pradesh,Meerut,2010,Rabi,Groundnut,3625.9,3098.5
Maharashtra,Nashik,2013,Whole Year,Sugarcane,2462.1,246048.5
Uttar Pradesh,Lucknow,2010,Kharif,Rice,4097.3,10085.8
West Bengal,Bardhaman,2013,Kharif,Bajra,2896.9,3443.0
Haryana,Rohtak,2010,Kharif,Tur,2547.8,2605.2
West Bengal,Bardhaman,2006,Rabi,Potato,2313.8,55177.6
Tamil Nadu,Salem,2001,Kharif,Tur,2179.6,979.6
Punjab,Patiala,2002,Kharif,Cotton,3356.6,1404.4
Madhya Pradesh,Bhopal,2006,Rabi,Groundnut,4251.4,6365.4
Bihar,Bhagalpur,2003,Kharif,Cotton,840.9,354.5
Karnataka,Mysore,2009,Rabi,Groundnut,2986.8,4107.5
Madhya Pradesh,Indore,2014,Whole Year,Sugarcane,3160.3,250508.1
Punjab,Ludhiana,2008,Whole Year,Banana,3653.9,160989.2
Punjab,Ludhiana,2007,Kharif,Tur,1732.0,1526.3
Maharashtra,Pune,2006,Rabi,Onion,1722.2,35461.8
Uttar Pradesh,Meerut,2001,Kharif,Groundnut,2362.8,2735.4
West Bengal,Hooghly,2001,Rabi,Mustard,5605.5,6534.2
Tamil Nadu,Salem,2009,Rabi,Onion,989.3,14164.6
Karnataka,Mysore,2008,Rabi,Maize,2234.2,4629.1
Andhra Pradesh,Nellore,2012,Whole Year,Rice,3043.4,11285.6
Bihar,Patna,2007,Kharif,Jowar,2140.3,2364.7
Karnataka,Hassan,2007,Kharif,Tur,1375.8,526.2
Maharashtra,Nashik,2001,Kharif,Cotton,1551.6,903.9
Andhra Pradesh,Krishna,2007,Rabi,Wheat,5656.1,16622.2
Karnataka,Belgaum,2004,Kharif,Onion,2385.7,32265.4
Karnataka,Mysore,2010,Kharif,Groundnut,6068.6,7347.7
Maharashtra,Nashik,2008,Kharif,Jowar,4402.5,4874.5
Punjab,Patiala,2011,Kharif,Rice,2906.8,10670.2
Haryana,Karnal,2002,Rabi,Potato,4851.0,68619.1
Uttar Pradesh,Meerut,2012,Kharif,Cotton,1342.9,527.6
West Bengal,Hooghly,2013,Whole Year,Sugarcane,486.9,39480.7
Haryana,Rohtak,2009,Whole Year,Potato,10339.5,242960.0
Bihar,Patna,2002,Rabi,Gram,2968.6,2976.1
Punjab,Patiala,2007,Kharif,Tur,1752.6,1942.0
Karnataka,Belgaum,2014,Rabi,Wheat,859.1,2550.0
Uttar Pradesh,Meerut,2004,Whole Year,Sugarcane,3510.3,220321.8
Punjab,Patiala,2006,Rabi,Groundnut,4822.2,5804.9
Bihar,Bhagalpur,2004,Whole Year,Potato,1907.7,33820.7
Karnataka,Belgaum,2002,Kharif,Soyabean,5919.7,6028.0
Uttar Pradesh,Kanpur,2014,Kharif,Groundnut,5212.9,8547.5
Punjab,Ludhiana,2014,Kharif,Groundnut,5498.8,11826.6
Madhya Pradesh,Indore,2007,Kharif,Rice,2348.8,7714.7
Tamil Nadu,Salem,2011,Kharif,Tur,3498.3,2934.1
Punjab,Ludhiana,2002,Rabi,Maize,1547.3,5643.0
Karnataka,Mysore,2003,Rabi,Maize,592.7,1330.8
Maharashtra,Pune,2004,Kharif,Soyabean,5747.1,6378.3
Punjab,Patiala,2008,Whole Year,Rice,673.7,2071.3
Punjab,Amritsar,2005,Whole Year,Potato,1356.4,28419.6
Madhya Pradesh,Bhopal,2013,Kharif,Jowar,1688.6,2086.7
Punjab,Patiala,2013,Kharif,Tur,2766.2,3605.2
